Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Wind Speed,Generic 1.5 MW Power Output,Generic 1.5 MW Operating Status,AC Primary Load,AC Primary Load Served,Hydrogen Load,Grid Purchases,Grid Sales,Total Electrical Load Served,Renewable Penetration,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Lead Acid Maximum Charge Power,Generic 1kWh Lead Acid Maximum Discharge Power,Generic 1kWh Lead Acid Charge Power,Generic 1kWh Lead Acid Discharge Power,Generic 1kWh Lead Acid Input Power,Generic 1kWh Lead Acid Energy Content,Generic 1kWh Lead Acid State of Charge,Generic 1kWh Lead Acid Energy Cost,Electrolyzer Input,Electrolyzer Output,Stored Hydrogen,Hydrogen Load Served,Unmet Hydrogen Load,Excess Hydrogen,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
1/1/2007 9:00:00 PM,0,0,72.47945,90,0,0,7.046005,195055.8,0,1286.251,1286.251,3891,0,0,185355.2,105.2335,0,195055.8,0,0,193769.5,184081.1,12.12914,1384026,12.12914,0,12.12914,5304212,99.99947,0,184068.9,3966.556,2034.533,3891,0,0,98942.77,0,295055.8,1384026
1/1/2007 10:00:00 PM,0,0,72.29077,90,0,0,4.377609,47574.32,0,930.3168,930.3168,3891,0,-7.27596E-12,45233.39,105.1752,0,47574.32,0,0,46644.01,44311.81,8.730305,1384026,8.730305,0,8.730305,5304220,99.99962,0,44303.08,954.7001,0,2989.233,901.7667,0,24810.51,0,147574.3,1384026
1/1/2007 11:00:00 PM,0,0,68.69804,90,0,0,5.13963,76499.84,0,1017.982,1017.982,3891,0,0,72719.47,105.1986,0,76499.84,0,0,75481.86,71707.77,6.283892,1384026,6.283892,0,6.283892,5304226,99.99973,0,71701.48,1545.116,0,1545.116,2345.884,0,39369.7,0,176499.8,1384026
1/2/2007 12:00:00 AM,0,0,52.65122,90,0,0,5.803926,110563.9,0,1098.073,1098.073,3891,0,0,105086.1,105.2127,0,110563.9,0,0,109465.8,103992.5,4.523015,1384026,4.523015,0,4.523015,5304230,99.9998,0,103988,2240.868,0,2240.868,1650.132,0,56489.82,0,210563.9,1384026
1/2/2007 1:00:00 AM,0,0,-25.05888,90,0,0,5.50577,93751.88,0,890.4616,890.4616,3891,0,0,89105.55,105.2144,0,93751.88,0,0,92861.42,88218.35,3.255572,1384026,3.255572,0,3.255572,5304232,99.99986,0,88215.09,1900.973,0,1900.973,1990.027,0,47855.45,0,193751.9,1384026
1/2/2007 2:00:00 AM,0,0,-64.08057,90,0,0,6.715664,169962.2,0,375.6222,375.6222,3891,0,0,161480.5,105.2524,0,169962.2,0,0,169586.5,161107.2,2.343293,1384026,2.343293,0,2.343293,5304234,99.9999,0,161104.9,3471.696,0,3471.696,419.3037,0,85394.27,0,269962.2,1384026
1/2/2007 3:00:00 AM,0,0,-71.36102,90,0,0,3.729302,30258.98,0,1258.44,1258.44,3891,0,0,28807.27,105.0394,0,30258.98,0,0,29000.54,27550.52,1.686654,1384026,1.686654,0,1.686654,5304236,99.99992,0,27548.83,593.6578,0,593.6578,3297.342,0,16513.78,0,130259,1384026
1/2/2007 4:00:00 AM,0,0,-72.74706,90,0,0,5.470827,91781.56,0,721.1273,721.1273,3891,0,0,87227.32,105.2211,0,91781.56,0,0,91060.43,86507.41,1.214018,1384026,1.214018,0,1.214018,5304237,99.99995,0,86506.2,1864.148,0,1864.148,2026.852,0,46684.02,0,191781.6,1384026
1/2/2007 5:00:00 AM,0,0,-71.99277,90,0,0,9.243603,314442.1,0,828.3714,828.3714,3891,0,0,298760.6,105.2489,0,314442.1,0,0,313613.8,297933.1,0.8738252,1384026,0.8738252,0,0.8738252,5304238,99.99996,0,297932.2,6420.229,2529.229,3891,0,0,158132.3,0,414442.1,1384026
1/2/2007 6:00:00 AM,0,0,-69.96738,90,0,0,6.287281,139768.3,0,694.6918,694.6918,3891,0,0,132814,105.2361,0,139768.3,0,0,139073.6,132119.9,0.6289612,1384026,0.6289612,0,0.6289612,5304238,99.99997,0,132119.3,2847.078,1485.307,3891,0,0,70648.32,0,239768.3,1384026
1/2/2007 7:00:00 AM,0,0,-66.82145,90,0,0,7.985883,266102.1,0,845.0051,845.0051,3891,0,0,252838.8,105.2458,0,266102.1,0,0,265257.1,251994.3,0.4527132,1384026,0.4527132,0,0.4527132,5304239,99.99998,0,251993.8,5430.289,3024.596,3891,0,0,133980.6,0,366102.1,1384026
1/2/2007 8:00:00 AM,0.042,10.49938,-62.36784,72.70611,0.04187085,1779.511,6.713411,169803.4,0,811.1407,811.1407,3891,0,2.91038E-11,163132.9,105.1798,0,171582.9,0,0,168992.2,160542.6,0.3258536,1384026,0.3258536,0,0.3258536,5304240,99.99998,0,162321.8,3497.92,2631.517,3891,0,0,85793.93,1423.609,269803.3,1385805
1/2/2007 9:00:00 AM,0.2705,22.93948,-56.11385,59.16251,0.3060498,13007.12,5.339337,84945.45,0,823.0272,823.0272,3891,0,0,93746.21,104.487,0,97952.57,0,0,84122.42,79916.3,0.2345426,1384026,0.2345426,0,0.2345426,5304240,99.99999,0,92923.19,2002.429,742.9459,3891,0,0,43378.05,10405.69,184945.5,1397033
1/2/2007 10:00:00 AM,0.505,34.30696,-47.16952,46.1315,0.5962034,25338.64,7.541791,236989.4,0,644.9602,644.9602,3891,0,0,250510.6,104.7173,0,262328,0,0,236344.4,224527.2,0.1688189,1384026,0.1688189,0,0.1688189,5304240,99.99999,0,249865.7,5384.429,2236.375,3891,0,0,119204.1,20270.91,336989.4,1409364
1/2/2007 11:00:00 AM,0.6035,43.78701,-34.20105,34.29152,0.6912255,29377.09,8.309713,284361.8,0,743.0796,743.0796,3891,0,0,299557.8,104.734,0,313738.9,0,0,283618.8,269437.8,0.1215123,1384026,0.1215123,0,0.1215123,5304240,99.99999,0,298814.8,6439.248,4784.623,3891,0,0,142998.3,23501.67,384361.8,1413403
1/2/2007 12:00:00 PM,0.5805,50.00238,-16.09011,25.43712,0.6359109,27026.21,6.709439,169523.4,0,957.2046,957.2046,3891,0,0,188121.2,104.4803,0,196549.6,0,0,168566.2,160137.9,0.08746206,1384026,0.08746206,0,0.08746206,5304240,100,0,187164,4033.252,4926.875,3891,0,0,85814.62,21620.97,269523.4,1411052
1/2/2007 1:00:00 PM,0.571,51.33863,5.66347,23.3077,0.6191537,26314.03,7.325757,218717.2,0,1130.766,1130.766,3891,0,0,234151.9,104.6463,0,245031.3,0,0,217586.5,206707.1,0.06295337,1384026,0.06295337,0,0.06295337,5304240,100,0,233021.1,5021.441,6057.316,3891,0,0,110602.5,21051.23,318717.2,1410340
1/2/2007 2:00:00 PM,0.5765,47.33377,26.01342,29.40808,0.6390688,27160.42,8.231909,279974.7,0,1117.796,1117.796,3891,0,0,293192.2,104.7555,0,307135.1,0,0,278856.9,264914,0.04531253,1384026,0.04531253,0,0.04531253,5304240,100,0,292074.4,6293.998,8460.314,3891,0,0,141216.9,21728.34,379974.7,1411186
1/2/2007 3:00:00 PM,0.3905,39.23939,41.43723,40.13469,0.4115696,17491.71,6.893204,182475.8,0,843.6794,843.6794,3891,0,0,190885.8,104.7576,0,199967.5,0,0,181632.1,172550.5,0.03261502,1384026,0.03261502,0,0.03261502,5304240,100,0,190042.2,4095.275,8664.589,3891,0,0,92165.94,13993.37,282475.8,1401518
1/2/2007 4:00:00 PM,0.224,28.65909,52.15939,52.71221,0.2272578,9658.456,7.00146,191288.2,0,975.3037,975.3037,3891,0,-2.91038E-11,191431,104.9708,0,200946.7,0,0,190312.9,180797.3,0.02347561,1384026,0.02347561,0,0.02347561,5304240,100,0,190455.7,4104.186,8877.775,3891,0,0,96716.94,7726.765,291288.2,1393684
1/2/2007 5:00:00 PM,0.049,16.66911,59.58564,66.05727,0.04856166,2063.871,3.815434,31958.83,0,1068.826,1068.826,3891,0,0,32478.18,104.7556,0,34022.7,0,0,30890,29345.5,0.01689726,1384026,0.01689726,0,0.01689726,5304240,100,0,31409.35,676.8494,5663.625,3891,0,0,17155.12,1651.097,131958.8,1386090
1/2/2007 6:00:00 PM,0,0,64.83446,90,0,0,4.31916,45926.46,0,593.6323,593.6323,3891,0,0,43659.8,105.1916,0,45926.46,0,0,45332.83,43066.19,0.01216229,1384026,0.01216229,0,0.01216229,5304240,100,0,43066.18,928.0457,2700.67,3891,0,0,23616.22,0,145926.5,1384026
1/2/2007 7:00:00 PM,0,0,68.5773,90,0,0,3.388094,23525.13,0,810.7302,810.7302,3891,0,0,22389.4,105.0726,0,23525.13,0,0,22714.4,21578.68,0.008754167,1384026,0.008754167,0,0.008754167,5304240,100,0,21578.67,465.0052,0,3165.676,725.3243,0,12654.37,0,123525.1,1384026
1/2/2007 8:00:00 PM,0,0,71.14435,90,0,0,5.24032,80758.04,0,918.438,918.438,3891,0,0,76766.05,105.2002,0,80758.04,0,0,79839.6,75847.62,0.006301067,1384026,0.006301067,0,0.006301067,5304240,100,0,75847.61,1634.463,0,1634.463,2256.537,0,41389.3,0,180758,1384026
1/2/2007 9:00:00 PM,0,0,72.56646,90,0,0,3.771016,31082.22,0,634.6307,634.6307,3891,0,0,29559.84,105.1502,0,31082.22,0,0,30447.59,28925.21,0.004535377,1384026,0.004535377,0,0.004535377,5304240,100,0,28925.21,623.3178,0,623.3178,3267.682,0,16239.2,0,131082.2,1384026
1/2/2007 10:00:00 PM,0,0,72.41758,90,0,0,3.079048,17426.01,0,693.1739,693.1739,3891,0,0,16589.36,105.0433,0,17426.01,0,0,16732.83,15896.19,0.00326447,1384026,0.00326447,0,0.00326447,5304240,100,0,15896.19,342.5517,0,342.5517,3548.448,0,9475.495,0,117426,1384026
1/2/2007 11:00:00 PM,0,0,68.91651,90,0,0,4.524772,51723.35,0,1045.5,1045.5,3891,0,0,49189.45,105.1513,0,51723.35,0,0,50677.85,48143.96,0.002349698,1384026,0.002349698,0,0.002349698,5304240,100,0,48143.95,1037.468,0,1037.468,2853.532,0,27011.72,0,151723.3,1384026
1/3/2007 12:00:00 AM,0,0,53.20523,90,0,0,4.728504,59113.35,0,1221.196,1221.196,3891,0,0,56218.74,105.1488,0,59113.35,0,0,57892.15,54997.54,0.001691264,1384026,0.001691264,0,0.001691264,5304240,100,0,54997.54,1185.158,0,1185.158,2705.842,0,30899.99,0,159113.3,1384026
1/3/2007 1:00:00 AM,0,0,-24.66628,90,0,0,4.854428,64438.66,0,893.5162,893.5162,3891,0,0,61261.4,105.1864,0,64438.66,0,0,63545.14,60367.88,0.001217336,1384026,0.001217336,0,0.001217336,5304240,100,0,60367.88,1300.885,0,1300.885,2590.115,0,33202.2,0,164438.7,1384026
1/3/2007 2:00:00 AM,0,0,-64.20757,90,0,0,4.026377,37671.94,0,951.6651,951.6651,3891,0,0,35835.93,105.1234,0,37671.94,0,0,36720.28,34884.26,0.000876213,1384026,0.000876213,0,0.000876213,5304240,100,0,34884.26,751.7313,0,751.7313,3139.269,0,19882.8,0,137671.9,1384026
1/3/2007 3:00:00 AM,0,0,-71.48633,90,0,0,5.709931,105263.8,0,1383.939,1383.939,3891,0,0,100069.8,105.1904,0,105263.8,0,0,103879.9,98685.88,0.00063068,1384026,0.00063068,0,0.00063068,5304240,100,0,98685.88,2126.611,0,2126.611,1764.389,0,54154.24,0,205263.8,1384026
1/3/2007 4:00:00 AM,0,0,-72.85846,90,0,0,6.692999,168364.7,0,1221.329,1221.329,3891,0,0,160007.5,105.223,0,168364.7,0,0,167143.3,158786.2,0.00045395,1384026,0.00045395,0,0.00045395,5304240,100,0,158786.2,3421.73,0,3421.73,469.2702,0,85525.79,0,268364.7,1384026
1/3/2007 5:00:00 AM,0,0,-72.09662,90,0,0,8.026827,268410.8,0,1410.229,1410.229,3891,0,0,255060.8,105.2341,0,268410.8,0,0,267000.6,253650.5,0.000326744,1384026,0.000326744,0,0.000326744,5304240,100,0,253650.5,5465.991,1574.99,3891,0,0,135756.7,0,368410.8,1384026
1/3/2007 6:00:00 AM,0,0,-70.06962,90,0,0,5.054568,72902.57,0,1069.662,1069.662,3891,0,0,69310.93,105.1819,0,72902.57,0,0,71832.91,68241.27,0.000235184,1384026,0.000235184,0,0.000235184,5304240,100,0,68241.27,1470.551,0,3045.542,845.4583,0,37627.91,0,172902.6,1384026
1/3/2007 7:00:00 AM,0,0,-66.92749,90,0,0,5.861281,113797.9,0,794.5296,794.5296,3891,0,0,108147.8,105.2245,0,113797.9,0,0,113003.4,107353.2,0.00016928,1384026,0.00016928,0,0.00016928,5304240,100,0,107353.2,2313.387,0,2313.387,1577.613,0,57772.95,0,213797.9,1384026
1/3/2007 8:00:00 AM,0.0065,10.4341,-62.48339,72.79749,0.006416506,272.7015,8.643898,297875.2,0,1067.703,1067.703,3891,0,0,283307.5,105.2383,0,298147.9,0,0,296807.5,281967.1,0.000121844,1384026,0.000121844,0,0.000121844,5304240,100,0,282239.8,6082.069,2191.069,3891,0,0,150112.1,218.1612,397875.2,1384299
1/3/2007 9:00:00 AM,0.0525,22.88998,-56.24558,59.24164,0.05191595,2206.428,11.05909,325050,0,1139.501,1139.501,3891,0,0,311060.9,105.2065,0,327256.4,0,0,323910.5,307715,8.77007E-05,1384026,8.77007E-05,0,8.77007E-05,5304240,100,0,309921.4,6678.588,4978.657,3891,0,0,163778.5,1765.142,425050,1386232
1/3/2007 10:00:00 AM,0.1295,34.27971,-47.32467,46.19254,0.1282066,5448.779,9.440121,316658.3,0,1045.576,1045.576,3891,0,-5.82077E-11,306326.5,105.1516,0,322107.1,0,0,315612.8,299832.1,6.31248E-05,1384026,6.31248E-05,0,6.31248E-05,5304240,100,0,305280.9,6578.588,7666.246,3891,0,0,159479.3,4359.023,416658.3,1389475
1/3/2007 11:00:00 AM,0.194,43.79179,-34.38246,34.32184,0.1921289,8165.477,6.734755,171307.8,0,1400.177,1400.177,3891,0,0,170977.9,104.9687,0,179473.2,0,0,169907.6,161412.2,4.5436E-05,1384026,4.5436E-05,0,4.5436E-05,5304240,100,0,169577.7,3654.28,7429.525,3891,0,0,87194.08,6532.381,271307.8,1392191
1/3/2007 12:00:00 PM,0.2485,50.0499,-16.2802,25.41147,0.2462776,10466.8,8.681792,298943.6,0,971.3047,971.3047,3891,0,0,294511.7,105.0587,0,309410.3,0,0,297972.2,283073.6,3.27038E-05,1384026,3.27038E-05,0,3.27038E-05,5304240,100,0,293540.4,6325.589,9864.114,3891,0,0,150540.2,8373.438,398943.6,1394493
1/3/2007 1:00:00 PM,0.2955,51.42979,5.512629,23.21054,0.293762,12484.89,6.50208,154908,0,1046.37,1046.37,3891,0,0,159699.9,104.8172,0,167392.9,0,0,153861.7,146168.6,2.35398E-05,1384026,2.35398E-05,0,2.35398E-05,5304240,100,0,158653.5,3418.871,9391.985,3891,0,0,78605.03,9987.909,254908,1396511
1/3/2007 2:00:00 PM,0.1635,47.45304,25.93319,29.2793,0.1617181,6873.018,8.372525,287903.6,0,975.8223,975.8223,3891,0,0,280430.2,105.1159,0,294776.6,0,0,286927.8,272581.3,1.69433E-05,1384026,1.69433E-05,0,1.69433E-05,5304240,100,0,279454.4,6022.045,11523.03,3891,0,0,145025.2,5498.414,387903.6,1390899
1/3/2007 3:00:00 PM,0.097,39.36918,41.41386,40.00491,0.09585403,4073.796,8.381945,288434.7,0,1190.552,1190.552,3891,0,0,278146.3,105.1635,0,292508.5,0,0,287244.2,272881.9,1.21955E-05,1384026,1.21955E-05,0,1.21955E-05,5304240,100,0,276955.7,5968.201,13600.23,3891,0,0,145527,3259.037,388434.7,1388100
1/3/2007 4:00:00 PM,0.0545,28.78982,52.1698,52.58858,0.05384023,2288.21,6.971462,188751,0,1139.206,1139.206,3891,0,0,181658.6,105.1639,0,191039.2,0,0,187611.8,178231.2,8.77768E-06,1384026,8.77768E-06,0,8.77768E-06,5304240,100,0,180519.4,3890.065,13599.3,3891,0,0,95628.61,1830.568,288751,1386314
1/3/2007 5:00:00 PM,0.0105,16.79692,59.61588,65.94089,0.01035976,440.2898,9.630484,318805.1,0,1537.014,1537.014,3891,0,0,303382,105.2289,0,319245.4,0,0,317268.1,301404.7,6.31781E-06,1384026,6.31781E-06,0,6.31781E-06,5304240,100,0,301845,6504.547,16212.84,3891,0,0,161093.3,352.2318,418805.1,1384466
1/3/2007 6:00:00 PM,0,0,64.87852,90,0,0,11.76668,325050,0,1115.428,1115.428,3891,0,0,308853.3,105.2441,0,325050,0,0,323934.6,307737.8,4.54784E-06,1384026,4.54784E-06,0,4.54784E-06,5304240,100,0,307737.8,6631.534,18953.38,3891,0,0,163752,0,425050,1384026
1/3/2007 7:00:00 PM,0,0,68.63407,90,0,0,13.07712,325050,0,762.0867,762.0867,3891,0,0,308835.6,105.2502,0,325050,0,0,324287.9,308073.5,3.27327E-06,1384026,3.27327E-06,0,3.27327E-06,5304240,100,0,308073.5,6638.768,21701.14,3891,0,0,163363.3,0,425050,1384026
1/3/2007 8:00:00 PM,0,0,71.2165,90,0,0,10.60407,324608.4,0,1110.733,1110.733,3891,0,0,308433.5,105.2442,0,324608.4,0,0,323497.7,307322.8,2.356E-06,1384026,2.356E-06,0,2.356E-06,5304240,100,0,307322.8,6622.589,24432.73,3891,0,0,163526,0,424608.4,1384026
1/3/2007 9:00:00 PM,0,0,72.66166,90,0,0,10.83642,325050,0,1137.117,1137.117,3891,0,0,308854.3,105.2438,0,325050,0,0,323912.9,307717.2,1.69528E-06,1384026,1.69528E-06,0,1.69528E-06,5304240,100,0,307717.2,6631.09,27172.82,3891,0,0,163775.8,0,425050,1384026
1/3/2007 10:00:00 PM,0,0,72.55436,90,0,0,10.40616,324050.4,0,1447.132,1447.132,3891,0,0,307920.2,105.2384,0,324050.4,0,0,322603.3,306473.1,1.22031E-06,1384026,1.22031E-06,0,1.22031E-06,5304240,100,0,306473.1,6604.28,29886.1,3891,0,0,163617.1,0,424050.4,1384026
1/3/2007 11:00:00 PM,0,0,69.14838,90,0,0,6.149004,130022.1,0,1240.454,1240.454,3891,0,0,123583,105.2103,0,130022.1,0,0,128781.6,122342.6,8.78176E-07,1384026,8.78176E-07,0,8.78176E-07,5304240,100,0,122342.6,2636.396,28631.5,3891,0,0,66375.55,0,230022.1,1384026
1/4/2007 12:00:00 AM,0,0,53.77881,90,0,0,4.429705,49043.09,0,947.3458,947.3458,3891,0,-7.27596E-12,46638.31,105.1562,0,49043.09,0,0,48095.75,45690.96,6.32131E-07,1384026,6.32131E-07,0,6.32131E-07,5304240,100,0,45690.96,984.608,25725.11,3891,0,0,25563.63,0,149043.1,1384026
1/4/2007 1:00:00 AM,0,0,-24.28828,90,0,0,6.283126,139475.5,0,1336.271,1336.271,3891,0,0,132568.5,105.2101,0,139475.5,0,0,138139.2,131232.2,4.55135E-07,1384026,4.55135E-07,0,4.55135E-07,5304240,100,0,131232.2,2827.962,24662.07,3891,0,0,71207.62,0,239475.5,1384026
1/4/2007 2:00:00 AM,0,0,-64.35645,90,0,0,6.60095,161876.7,0,1264.296,1264.296,3891,0,-2.91038E-11,153846.1,105.2199,0,161876.7,0,0,160612.4,152581.8,3.27347E-07,1384026,3.27347E-07,0,3.27347E-07,5304240,100,0,152581.8,3288.031,24059.1,3891,0,0,82329.09,0,261876.7,1384026
